config_file,diameter,num_messages,num_robots,occupancy,real_diameter,simulator_time_us,trial
random_200_80_4.xml,15,5939,200,80,15,225463,4
random_200_80_5.xml,16,5576,200,80,16,255882,5
random_200_80_6.xml,13,5985,200,80,14,219450,6
random_200_80_7.xml,15,5814,200,80,15,243889,7
random_200_80_8.xml,14,5796,200,80,14,227064,8
random_200_80_9.xml,15,5943,200,80,15,243750,9
random_50_20_0.xml,9,1072,50,20,9,141699,0
random_50_20_1.xml,10,978,50,20,10,155484,1
random_50_20_2.xml,11,1030,50,20,11,170701,2
random_50_20_3.xml,10,949,50,20,10,169300,3
random_50_20_4.xml,10,1074,50,20,10,155508,4
random_50_20_5.xml,10,899,50,20,10,169321,5
random_50_20_6.xml,9,1104,50,20,9,137219,6
random_50_20_7.xml,10,1074,50,20,10,152427,7
random_50_20_8.xml,9,1025,50,20,9,147967,8
random_50_20_9.xml,8,992,50,20,11,144869,9
random_50_40_0.xml,9,945,50,40,9,161619,0
random_50_40_1.xml,9,1199,50,40,9,152377,1
random_50_40_2.xml,9,1105,50,40,9,146275,2
random_50_40_3.xml,8,1167,50,40,8,144873,3
random_50_40_4.xml,7,1148,50,40,9,131069,4
random_50_40_5.xml,8,1135,50,40,8,144830,5
random_50_40_6.xml,8,1214,50,40,10,140236,6
random_50_40_7.xml,7,1203,50,40,9,152519,7
random_50_40_8.xml,9,1011,50,40,9,155461,8
random_50_40_9.xml,9,1040,50,40,9,147838,9
random_50_60_0.xml,7,1118,50,60,8,132571,0
random_50_60_1.xml,9,1089,50,60,9,146266,1
random_50_60_2.xml,8,1069,50,60,9,131199,2
random_50_60_3.xml,8,1164,50,60,8,129615,3
random_50_60_4.xml,9,1200,50,60,9,152446,4
random_50_60_5.xml,8,1200,50,60,9,153962,5
random_50_60_6.xml,9,1121,50,60,9,156962,6
random_50_60_7.xml,12,938,50,60,12,196565,7
random_50_60_8.xml,11,1094,50,60,11,175244,8
random_50_60_9.xml,8,1279,50,60,8,140245,9
random_50_80_0.xml,9,1245,50,80,9,140141,0
random_50_80_1.xml,9,1296,50,80,9,156988,1
random_50_80_2.xml,8,1293,50,80,8,140230,2
random_50_80_3.xml,8,1276,50,80,9,135643,3
random_50_80_4.xml,9,1263,50,80,9,152385,4
random_50_80_5.xml,9,1342,50,80,9,147785,5
random_50_80_6.xml,8,1341,50,80,8,135650,6
random_50_80_7.xml,9,1296,50,80,9,152435,7
random_50_80_8.xml,8,1326,50,80,9,144821,8
